date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,002821,143.08,141.97,144.72,140.55,51486,757465056.75,2.91,-0.98,-1.4,1.57
2023-01-04,002821,141.9,144.36,146.37,141.9,53948,805195839.16,3.15,1.68,2.39,1.65
2023-01-05,002821,144.05,145.89,149.22,143.58,73692,1115206474.74,3.91,1.06,1.53,2.25
2023-01-06,002821,143.63,143.66,145.77,142.54,43530,645830441.91,2.21,-1.53,-2.23,1.33
2023-01-09,002821,145.37,144.76,146.06,142.48,46380,690447622.28,2.49,0.77,1.1,1.42
2023-01-10,002821,144.42,145.26,147.37,143.17,46082,692162147.16,2.9,0.35,0.5,1.41
2023-01-11,002821,146.06,146.14,150.35,144.68,69855,1063158498.18,3.9,0.61,0.88,2.14
2023-01-12,002821,146.14,146.57,148.6,145.55,45921,696740221.05,2.09,0.29,0.43,1.4
2023-01-13,002821,145.88,147.87,148.77,145.0,45768,694791527.14,2.57,0.89,1.3,1.4
2023-01-16,002821,150.87,163.12,163.12,150.37,95069,1551740604.62,8.62,10.31,15.25,2.91
2023-01-17,002821,167.36,163.7,168.62,162.73,126686,2159500417.65,3.61,0.36,0.58,3.87
2023-01-18,002821,163.87,159.27,164.82,158.05,66008,1086240633.79,4.14,-2.71,-4.43,2.02
2023-01-19,002821,159.28,167.22,169.92,156.98,94166,1597604147.85,8.12,4.99,7.95,2.88
2023-01-20,002821,167.22,164.37,168.73,163.94,47518,809536224.09,2.86,-1.7,-2.85,1.45
2023-01-30,002821,165.34,161.49,165.37,160.63,56292,939735804.32,2.88,-1.75,-2.88,1.72
2023-01-31,002821,162.37,154.97,167.29,154.03,85598,1401673823.97,8.21,-4.04,-6.52,2.62
2023-02-01,002821,155.25,161.33,161.85,153.87,65738,1072554678.65,5.15,4.1,6.36,2.01
2023-02-02,002821,161.07,163.39,168.87,160.38,52975,898728001.11,5.26,1.28,2.06,1.62
2023-02-03,002821,161.37,161.67,165.36,158.75,39961,663334323.68,4.05,-1.05,-1.72,1.22
2023-02-06,002821,159.22,155.37,161.06,153.47,57473,923090493.6,4.69,-3.9,-6.3,1.76
2023-02-07,002821,156.27,153.06,157.85,151.62,47846,757981768.36,4.01,-1.49,-2.31,1.46
2023-02-08,002821,153.97,152.37,156.22,152.3,31827,504956687.41,2.56,-0.45,-0.69,0.97
2023-02-09,002821,151.47,153.87,153.87,150.94,46023,722542253.58,1.92,0.98,1.5,1.41
2023-02-10,002821,153.07,151.42,153.46,149.97,44005,686217580.15,2.27,-1.59,-2.45,1.35
2023-02-13,002821,150.36,150.27,153.82,148.86,64510,999883227.65,3.28,-0.76,-1.15,1.97
2023-02-14,002821,150.29,148.37,151.37,147.46,49231,754623714.28,2.6,-1.26,-1.9,1.5
2023-02-15,002821,148.38,145.27,149.16,144.37,59537,895903109.53,3.23,-2.09,-3.1,1.82
2023-02-16,002821,145.37,142.59,148.14,141.67,66788,999396676.96,4.45,-1.84,-2.68,2.04
2023-02-17,002821,142.15,142.63,144.14,140.87,44678,660158707.58,2.29,0.03,0.04,1.37
2023-02-20,002821,143.37,144.27,144.68,139.23,52422,769009917.62,3.82,1.15,1.64,1.6
2023-02-21,002821,144.29,143.53,146.23,142.77,45128,670236045.52,2.4,-0.51,-0.74,1.38
2023-02-22,002821,142.37,141.76,143.84,141.17,28379,416453573.78,1.86,-1.23,-1.77,0.87
2023-02-23,002821,141.39,141.62,144.69,141.08,35939,528954629.51,2.55,-0.1,-0.14,1.1
2023-02-24,002821,141.88,139.69,142.07,138.87,34265,495166654.86,2.26,-1.36,-1.93,1.05
2023-02-27,002821,138.37,136.82,139.57,136.38,41547,590759119.4,2.28,-2.05,-2.87,1.27
2023-02-28,002821,137.72,138.58,139.15,136.91,26697,381050394.2,1.64,1.29,1.76,0.82
2023-03-01,002821,138.58,139.13,139.78,137.07,32113,460031397.34,1.96,0.4,0.55,0.98
2023-03-02,002821,139.16,138.07,140.82,137.65,33258,478929247.73,2.28,-0.76,-1.06,1.02
2023-03-03,002821,138.82,138.13,141.29,137.03,34634,497182456.18,3.09,0.04,0.06,1.06
2023-03-06,002821,138.15,135.96,138.3,134.98,36407,512503533.72,2.4,-1.57,-2.17,1.11
2023-03-07,002821,135.99,133.47,137.85,133.17,31616,441507848.07,3.44,-1.83,-2.49,0.97
2023-03-08,002821,132.67,132.47,134.07,131.61,23869,327347058.5,1.84,-0.75,-1.0,0.73
2023-03-09,002821,131.75,132.62,133.84,131.51,25071,344297723.53,1.76,0.11,0.15,0.77
2023-03-10,002821,131.3,132.51,133.62,130.17,33745,460710493.9,2.6,-0.08,-0.11,1.03
2023-03-13,002821,130.46,130.66,131.24,129.37,29583,399359107.63,1.41,-1.4,-1.85,0.9
2023-03-14,002821,131.96,134.64,134.99,130.8,54451,749904320.14,3.21,3.05,3.98,1.66
2023-03-15,002821,134.64,131.77,136.96,131.55,46405,644507827.27,4.02,-2.13,-2.87,1.42
2023-03-16,002821,130.38,128.13,132.06,126.73,52409,699889466.91,4.04,-2.76,-3.64,1.6
2023-03-17,002821,129.35,127.97,131.18,127.52,32676,436588114.47,2.86,-0.12,-0.16,1.0
2023-03-20,002821,128.0,127.43,129.86,124.95,43465,574138208.74,3.84,-0.42,-0.54,1.33
2023-03-21,002821,128.67,134.35,134.36,128.19,63973,873539394.57,4.84,5.43,6.92,1.95
2023-03-22,002821,134.06,134.86,135.76,132.97,37464,521045451.43,2.08,0.38,0.51,1.14
2023-03-23,002821,134.07,133.7,135.27,132.57,33119,457967842.14,2.0,-0.86,-1.16,1.01
2023-03-24,002821,133.72,133.24,136.15,132.17,39082,541070899.67,2.98,-0.34,-0.46,1.19
2023-03-27,002821,132.57,136.17,137.42,132.03,58175,815714382.38,4.05,2.2,2.93,1.78
2023-03-28,002821,136.37,133.89,136.87,133.41,40557,565357472.03,2.54,-1.67,-2.28,1.24
2023-03-29,002821,134.37,132.67,134.46,131.65,26895,369204387.45,2.1,-0.91,-1.22,0.82
2023-03-30,002821,133.11,133.48,134.66,131.76,28508,392800317.06,2.19,0.61,0.81,0.87
2023-03-31,002821,132.27,128.7,132.77,127.95,61183,819281925.29,3.61,-3.58,-4.78,1.87
2023-04-03,002821,128.04,129.06,131.06,128.04,43362,581464935.46,2.35,0.28,0.36,1.32
2023-04-04,002821,129.78,127.76,130.12,123.46,69891,910491440.27,5.16,-1.01,-1.3,2.13
2023-04-06,002821,127.37,130.35,130.81,126.47,42248,565214225.11,3.4,2.03,2.59,1.29
2023-04-07,002821,130.07,139.41,140.55,129.98,103339,1469069708.79,8.11,6.95,9.06,3.15
2023-04-10,002821,140.0,141.15,142.89,138.87,76018,1109207370.99,2.88,1.25,1.74,2.32
2023-04-11,002821,142.04,140.65,142.94,139.22,43624,634237950.52,2.64,-0.35,-0.5,1.33
2023-04-12,002821,139.77,139.09,141.47,137.85,43314,622457235.12,2.57,-1.11,-1.56,1.32
2023-04-13,002821,138.61,146.34,147.35,136.37,96237,1434509151.07,7.89,5.21,7.25,2.94
2023-04-14,002821,147.37,146.61,150.09,144.39,70460,1068259064.06,3.9,0.18,0.27,2.15
2023-04-17,002821,145.37,147.06,148.07,143.52,41073,617545219.84,3.1,0.31,0.45,1.25
2023-04-18,002821,144.38,142.77,144.53,142.37,40662,601144653.03,1.47,-2.92,-4.29,1.24
2023-04-19,002821,142.77,141.92,144.25,140.37,37752,551644876.77,2.72,-0.6,-0.85,1.15
2023-04-20,002821,141.37,138.18,143.23,137.63,44994,649604394.59,3.95,-2.64,-3.74,1.37
2023-04-21,002821,137.59,134.38,140.72,133.93,49208,700439312.82,4.91,-2.75,-3.8,1.5
2023-04-24,002821,135.28,131.73,137.67,129.86,54010,744539369.19,5.81,-1.97,-2.65,1.65
2023-04-25,002821,130.39,121.79,131.72,120.45,91553,1175665438.81,8.56,-7.55,-9.94,2.8
2023-04-26,002821,121.28,122.29,124.67,121.27,50991,649109396.48,2.79,0.41,0.5,1.56
2023-04-27,002821,121.52,119.69,122.77,119.38,46193,579500984.47,2.77,-2.13,-2.6,1.41
2023-04-28,002821,121.35,121.82,123.36,119.71,43853,552783333.26,3.05,1.78,2.13,1.34
2023-05-04,002821,121.57,122.27,123.81,121.46,35999,457120221.29,1.93,0.37,0.45,1.1
2023-05-05,002821,121.57,121.86,122.02,120.18,29446,370219130.63,1.5,-0.34,-0.41,0.9
2023-05-08,002821,122.08,123.74,124.24,119.55,42722,540092973.78,3.85,1.54,1.88,1.3
2023-05-09,002821,122.87,120.18,123.02,120.17,32121,403458965.68,2.3,-2.88,-3.56,0.98
2023-05-10,002821,119.85,122.27,123.23,119.45,32103,405171775.94,3.15,1.74,2.09,0.98
2023-05-11,002821,123.35,127.12,128.56,122.09,55631,728694391.85,5.29,3.97,4.85,1.7
