date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,600547,18.58,18.88,18.92,18.44,217819,421270411.0,2.59,1.78,0.33,0.6
2023-01-04,600547,18.83,18.97,19.17,18.74,211682,415540902.0,2.28,0.48,0.09,0.59
2023-01-05,600547,19.24,18.77,19.25,18.72,231602,453538283.0,2.79,-1.05,-0.2,0.64
2023-01-06,600547,18.62,18.59,18.78,18.52,150584,289660228.0,1.39,-0.96,-0.18,0.42
2023-01-09,600547,19.0,19.35,19.45,18.79,338949,669913197.0,3.55,4.09,0.76,0.94
2023-01-10,600547,19.33,19.29,19.47,19.13,189939,377894405.0,1.76,-0.31,-0.06,0.53
2023-01-11,600547,19.34,19.17,19.43,19.07,154342,306109255.0,1.87,-0.62,-0.12,0.43
2023-01-12,600547,19.11,18.97,19.32,18.95,134904,265589464.0,1.93,-1.04,-0.2,0.37
2023-01-13,600547,19.2,18.99,19.25,18.88,172521,338036655.0,1.95,0.11,0.02,0.48
2023-01-16,600547,19.39,19.21,19.48,19.13,228373,454796881.0,1.84,1.16,0.22,0.63
2023-01-17,600547,19.13,19.01,19.19,18.75,162814,318331303.0,2.29,-1.04,-0.2,0.45
2023-01-18,600547,18.95,19.04,19.08,18.93,105932,207961024.0,0.79,0.16,0.03,0.29
2023-01-19,600547,19.0,18.76,19.03,18.59,275069,531452961.0,2.31,-1.47,-0.28,0.76
2023-01-20,600547,18.83,19.39,19.47,18.83,438574,872931795.0,3.41,3.36,0.63,1.21
2023-01-30,600547,19.47,19.24,19.51,19.09,314843,625954279.0,2.17,-0.77,-0.15,0.87
2023-01-31,600547,19.23,19.18,19.51,19.11,243879,485231889.0,2.08,-0.31,-0.06,0.67
2023-02-01,600547,19.37,19.58,19.74,19.24,328984,662491446.0,2.61,2.09,0.4,0.91
2023-02-02,600547,19.89,19.8,20.11,19.57,439264,897873961.0,2.76,1.12,0.22,1.22
2023-02-03,600547,19.39,19.34,19.44,19.17,286185,569389833.0,1.36,-2.32,-0.46,0.79
2023-02-06,600547,18.84,18.5,18.87,18.31,513291,978100537.0,2.9,-4.34,-0.84,1.42
2023-02-07,600547,18.48,18.64,18.67,18.4,227207,434668591.0,1.46,0.76,0.14,0.63
2023-02-08,600547,18.61,18.5,18.64,18.49,139899,267917262.0,0.8,-0.75,-0.14,0.39
2023-02-09,600547,18.5,18.57,18.59,18.33,142495,272472827.0,1.41,0.38,0.07,0.39
2023-02-10,600547,18.47,18.43,18.54,18.37,212463,404319361.0,0.92,-0.75,-0.14,0.59
2023-02-13,600547,18.36,18.52,18.58,18.35,192863,368177226.0,1.25,0.49,0.09,0.53
2023-02-14,600547,18.52,18.65,18.67,18.48,194530,373804909.0,1.03,0.7,0.13,0.54
2023-02-15,600547,18.59,18.54,18.75,18.52,186994,359414654.0,1.23,-0.59,-0.11,0.52
2023-02-16,600547,18.41,18.28,18.57,18.11,249724,474250812.0,2.48,-1.4,-0.26,0.69
2023-02-17,600547,18.27,18.15,18.34,18.07,198803,373445125.0,1.48,-0.71,-0.13,0.55
2023-02-20,600547,18.28,18.37,18.37,18.13,179092,338036271.0,1.32,1.21,0.22,0.5
2023-02-21,600547,18.3,18.49,18.57,18.3,168758,322045398.0,1.47,0.65,0.12,0.47
2023-02-22,600547,18.42,18.61,18.64,18.41,182044,349103436.0,1.24,0.65,0.12,0.5
2023-02-23,600547,18.49,18.56,18.59,18.41,126974,242776420.0,0.97,-0.27,-0.05,0.35
2023-02-24,600547,18.53,18.34,18.55,18.3,123280,234031203.0,1.35,-1.19,-0.22,0.34
2023-02-27,600547,18.25,18.22,18.44,18.14,136731,258264070.0,1.64,-0.65,-0.12,0.38
2023-02-28,600547,18.23,18.37,18.39,18.23,97736,185053135.0,0.88,0.82,0.15,0.27
2023-03-01,600547,18.48,18.54,18.58,18.4,160020,305882171.0,0.98,0.93,0.17,0.44
2023-03-02,600547,18.49,18.59,18.7,18.47,170635,327808160.0,1.24,0.27,0.05,0.47
2023-03-03,600547,18.67,18.62,18.71,18.54,131820,253513734.0,0.91,0.16,0.03,0.36
2023-03-06,600547,18.69,18.96,19.09,18.69,322995,631803116.0,2.15,1.83,0.34,0.89
2023-03-07,600547,18.98,19.1,19.48,18.89,382515,759627535.0,3.11,0.74,0.14,1.06
2023-03-08,600547,18.8,18.5,18.81,18.26,315729,604041552.0,2.88,-3.14,-0.6,0.87
2023-03-09,600547,18.53,18.52,18.64,18.41,124796,238535766.0,1.24,0.11,0.02,0.35
2023-03-10,600547,18.7,18.84,18.93,18.55,267510,518675568.0,2.05,1.73,0.32,0.74
2023-03-13,600547,19.57,19.44,19.69,19.17,531753,1064541351.0,2.76,3.18,0.6,1.47
2023-03-14,600547,19.94,20.19,20.7,19.94,882720,1843002918.0,3.91,3.86,0.75,2.44
2023-03-15,600547,19.99,19.98,20.19,19.69,408568,839753421.0,2.48,-1.04,-0.21,1.13
2023-03-16,600547,20.19,20.2,20.42,19.98,465770,969511965.0,2.2,1.1,0.22,1.29
2023-03-17,600547,19.91,20.25,20.36,19.75,324773,671666522.0,3.02,0.25,0.05,0.9
2023-03-20,600547,20.88,21.19,21.36,20.61,927959,1999668579.0,3.7,4.64,0.94,2.57
2023-03-21,600547,20.74,20.92,21.07,20.69,450476,968507157.0,1.79,-1.27,-0.27,1.25
2023-03-22,600547,20.47,20.69,20.84,20.36,343841,728771771.0,2.29,-1.1,-0.23,0.95
2023-03-23,600547,20.82,21.36,21.54,20.62,547101,1190002834.0,4.45,3.24,0.67,1.51
2023-03-24,600547,21.62,21.2,21.65,21.12,323370,709361562.0,2.48,-0.75,-0.16,0.89
2023-03-27,600547,21.2,21.18,21.28,20.71,355206,769703255.0,2.69,-0.09,-0.02,0.98
2023-03-28,600547,20.97,20.86,21.25,20.85,219481,474871146.0,1.89,-1.51,-0.32,0.61
2023-03-29,600547,21.03,20.83,21.06,20.75,203772,438447919.0,1.49,-0.14,-0.03,0.56
2023-03-30,600547,20.69,20.73,20.98,20.49,222998,474356920.0,2.35,-0.48,-0.1,0.62
2023-03-31,600547,20.91,21.43,21.67,20.89,416878,915778774.0,3.76,3.38,0.7,1.15
2023-04-03,600547,21.11,21.0,21.39,20.93,235695,511531086.0,2.15,-2.01,-0.43,0.65
2023-04-04,600547,21.33,22.15,22.3,21.29,520012,1170077109.0,4.81,5.48,1.15,1.44
2023-04-06,600547,22.72,24.24,24.39,22.71,843671,2063095530.0,7.58,9.44,2.09,2.33
2023-04-07,600547,23.89,24.36,24.46,23.89,440358,1094485108.0,2.35,0.5,0.12,1.22
2023-04-10,600547,24.35,23.91,24.49,23.7,345980,851363360.0,3.24,-1.85,-0.45,0.96
2023-04-11,600547,23.8,25.25,25.47,23.73,648590,1640518123.0,7.28,5.6,1.34,1.79
2023-04-12,600547,25.23,25.57,26.04,25.09,505185,1325005191.0,3.76,1.27,0.32,1.4
2023-04-13,600547,25.61,25.78,26.46,25.37,709169,1874946832.0,4.26,0.82,0.21,1.96
2023-04-14,600547,26.45,26.68,26.99,26.28,599765,1633455845.0,2.75,3.49,0.9,1.66
2023-04-17,600547,25.51,26.21,26.41,25.29,509952,1353138433.0,4.2,-1.76,-0.47,1.41
2023-04-18,600547,26.05,26.29,26.75,25.89,340595,917435362.0,3.28,0.31,0.08,0.94
2023-04-19,600547,26.29,25.87,26.84,25.79,419451,1122552112.0,3.99,-1.6,-0.42,1.16
2023-04-20,600547,25.81,25.39,25.92,24.84,673442,1744656849.0,4.17,-1.86,-0.48,1.86
2023-04-21,600547,25.39,25.04,25.57,24.93,339648,877789754.0,2.52,-1.38,-0.35,0.94
2023-04-24,600547,24.89,24.38,25.17,24.17,360914,907377299.0,3.99,-2.64,-0.66,1.0
2023-04-25,600547,24.84,24.84,25.5,24.61,391742,1004033009.0,3.65,1.89,0.46,1.08
2023-04-26,600547,24.89,24.64,25.09,24.31,257149,649031863.0,3.14,-0.81,-0.2,0.71
2023-04-27,600547,24.29,25.35,25.8,24.26,456537,1179670930.0,6.25,2.88,0.71,1.26
2023-04-28,600547,24.9,25.09,25.19,24.46,302803,773969036.0,2.88,-1.03,-0.26,0.84
2023-05-04,600547,26.59,26.04,26.78,25.92,453445,1220279547.0,3.43,3.79,0.95,1.25
2023-05-05,600547,26.24,25.77,26.54,25.44,321854,856510926.0,4.22,-1.04,-0.27,0.89
2023-05-08,600547,25.29,25.89,25.94,25.09,261259,685747597.0,3.3,0.47,0.12,0.72
2023-05-09,600547,25.86,25.06,25.86,24.96,235541,610024307.0,3.48,-3.21,-0.83,0.65
2023-05-10,600547,25.25,24.76,25.64,24.35,297783,756758920.0,5.15,-1.2,-0.3,0.82
