date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,002841,56.35,58.36,58.87,55.76,28466,171866267.87,5.51,3.35,1.89,0.64
2023-01-04,002841,58.43,58.56,60.01,57.76,26589,163209736.45,3.86,0.34,0.2,0.6
2023-01-05,002841,58.75,58.65,59.0,58.23,13590,83231578.71,1.31,0.15,0.09,0.31
2023-01-06,002841,58.74,57.39,58.83,57.21,24059,145042486.6,2.76,-2.15,-1.26,0.54
2023-01-09,002841,57.38,57.39,57.74,56.93,15070,90224472.57,1.41,0.0,0.0,0.34
2023-01-10,002841,57.46,57.92,58.21,57.08,12418,74743604.61,1.97,0.92,0.53,0.28
2023-01-11,002841,57.83,57.82,58.3,57.31,12083,72988974.98,1.71,-0.17,-0.1,0.27
2023-01-12,002841,57.9,57.57,58.22,57.2,13266,79796075.88,1.76,-0.43,-0.25,0.3
2023-01-13,002841,57.81,57.72,57.93,57.24,10015,60142360.83,1.2,0.26,0.15,0.23
2023-01-16,002841,57.6,58.68,58.93,57.31,16970,103333586.28,2.81,1.66,0.96,0.38
2023-01-17,002841,59.03,58.8,59.08,58.31,10409,63867386.11,1.31,0.2,0.12,0.23
2023-01-18,002841,59.11,60.88,61.02,58.81,30837,193940309.76,3.76,3.54,2.08,0.69
2023-01-19,002841,60.81,62.35,62.43,59.93,25615,164264716.74,4.11,2.41,1.47,0.58
2023-01-20,002841,62.99,61.04,63.39,60.84,17577,112332225.11,4.09,-2.1,-1.31,0.4
2023-01-30,002841,61.71,60.83,62.33,60.72,17930,114105361.84,2.64,-0.34,-0.21,0.4
2023-01-31,002841,60.63,60.43,61.12,60.39,14874,94043854.96,1.2,-0.66,-0.4,0.33
2023-02-01,002841,60.43,61.25,61.33,60.36,15872,100955378.16,1.61,1.36,0.82,0.36
2023-02-02,002841,61.43,60.74,61.54,60.36,15419,97701828.35,1.93,-0.83,-0.51,0.35
2023-02-03,002841,60.74,60.83,60.91,59.93,14008,88266939.39,1.61,0.15,0.09,0.32
2023-02-06,002841,60.58,60.73,62.31,60.05,19104,121842809.55,3.72,-0.16,-0.1,0.43
2023-02-07,002841,60.63,61.15,61.23,60.17,14047,88869097.54,1.75,0.69,0.42,0.32
2023-02-08,002841,61.13,60.61,61.83,60.61,9856,62840018.14,2.0,-0.88,-0.54,0.22
2023-02-09,002841,60.43,62.11,62.23,60.31,15210,97495700.04,3.17,2.47,1.5,0.34
2023-02-10,002841,62.09,62.49,62.93,61.73,20207,131533946.0,1.93,0.61,0.38,0.45
2023-02-13,002841,62.53,61.93,62.53,61.49,30510,196619055.72,1.66,-0.9,-0.56,0.64
2023-02-14,002841,62.16,64.3,65.63,62.08,48353,324226525.17,5.73,3.83,2.37,1.02
2023-02-15,002841,64.05,66.82,67.27,63.59,58472,400348466.91,5.72,3.92,2.52,1.23
2023-02-16,002841,66.82,66.3,68.54,65.79,56827,396650661.44,4.12,-0.78,-0.52,1.19
2023-02-17,002841,66.63,64.43,67.88,64.28,40840,280340366.64,5.43,-2.82,-1.87,0.86
2023-02-20,002841,65.4,65.91,66.23,64.11,22486,152956753.7,3.29,2.3,1.48,0.47
2023-02-21,002841,65.92,68.83,68.87,65.13,60556,427292283.87,5.67,4.43,2.92,1.27
2023-02-22,002841,67.43,66.33,67.71,66.02,27624,191379251.68,2.46,-3.63,-2.5,0.58
2023-02-23,002841,66.32,69.43,69.91,65.82,52033,366731688.2,6.17,4.67,3.1,1.09
2023-02-24,002841,69.43,67.68,69.62,67.46,31499,223341573.69,3.11,-2.52,-1.75,0.66
2023-02-27,002841,67.68,66.48,67.89,65.51,37118,256137320.02,3.52,-1.77,-1.2,0.78
2023-02-28,002841,66.48,66.17,67.06,65.78,24467,169002542.94,1.93,-0.47,-0.31,0.51
2023-03-01,002841,66.17,65.56,67.3,65.37,37893,259702268.84,2.92,-0.92,-0.61,0.8
2023-03-02,002841,65.56,67.13,67.93,65.44,44463,308147374.39,3.8,2.39,1.57,0.93
2023-03-03,002841,67.13,66.11,68.23,65.1,33231,228690168.15,4.66,-1.52,-1.02,0.7
2023-03-06,002841,66.11,63.89,66.26,63.63,38970,261117755.66,3.98,-3.36,-2.22,0.82
2023-03-07,002841,63.47,62.1,64.11,61.75,32606,212450675.33,3.69,-2.8,-1.79,0.69
2023-03-08,002841,61.68,62.64,63.21,61.65,17152,111721215.84,2.51,0.87,0.54,0.36
2023-03-09,002841,62.43,62.19,62.93,61.23,15911,102883039.32,2.71,-0.72,-0.45,0.33
