date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,002736,7.89,7.96,8.0,7.83,94196,82905046.75,2.13,-0.38,-0.03,0.11
2023-01-04,002736,7.99,8.0,8.03,7.96,68733,61085114.25,0.88,0.5,0.04,0.08
2023-01-05,002736,8.02,8.08,8.1,8.01,80653,72163997.02,1.13,1.0,0.08,0.09
2023-01-06,002736,8.08,8.07,8.16,8.02,72813,65400589.63,1.73,-0.12,-0.01,0.08
2023-01-09,002736,8.12,8.18,8.23,8.06,96342,87321013.89,2.11,1.36,0.11,0.11
2023-01-10,002736,8.17,8.14,8.23,8.08,94667,85618363.66,1.83,-0.49,-0.04,0.11
2023-01-11,002736,8.15,8.13,8.22,8.11,83100,75296740.61,1.35,-0.12,-0.01,0.09
2023-01-12,002736,8.15,8.22,8.23,8.1,81621,73942429.6,1.6,1.11,0.09,0.09
2023-01-13,002736,8.24,8.29,8.29,8.17,108266,98859261.44,1.46,0.85,0.07,0.12
2023-01-16,002736,8.3,8.51,8.66,8.26,377640,354740401.9,4.83,2.65,0.22,0.43
2023-01-17,002736,8.44,8.54,8.56,8.43,145231,136411942.21,1.53,0.35,0.03,0.16
2023-01-18,002736,8.47,8.54,8.59,8.46,92104,86862574.5,1.52,0.0,0.0,0.1
2023-01-19,002736,8.48,8.67,8.67,8.47,145594,137903535.72,2.34,1.52,0.13,0.16
2023-01-20,002736,8.64,8.6,8.67,8.53,126954,120325822.41,1.61,-0.81,-0.07,0.14
2023-01-30,002736,8.67,8.6,8.71,8.56,154996,147356663.49,1.74,0.0,0.0,0.18
2023-01-31,002736,8.55,8.49,8.65,8.48,128265,121025282.01,1.98,-1.28,-0.11,0.15
2023-02-01,002736,8.55,8.79,8.8,8.55,265279,254854866.23,2.94,3.53,0.3,0.3
2023-02-02,002736,8.89,8.7,8.99,8.67,245363,236978686.07,3.64,-1.02,-0.09,0.28
2023-02-03,002736,8.63,8.69,8.76,8.6,173427,165654039.53,1.84,-0.11,-0.01,0.2
2023-02-06,002736,8.64,8.65,8.71,8.6,110408,105370068.16,1.27,-0.46,-0.04,0.13
2023-02-07,002736,8.79,8.58,8.79,8.54,115074,109388297.35,2.89,-0.81,-0.07,0.13
2023-02-08,002736,8.58,8.48,8.64,8.47,77610,73082750.76,1.98,-1.17,-0.1,0.09
2023-02-09,002736,8.51,8.63,8.64,8.48,96895,91812415.48,1.89,1.77,0.15,0.11
2023-02-10,002736,8.59,8.59,8.63,8.54,50860,48194208.63,1.04,-0.46,-0.04,0.06
2023-02-13,002736,8.59,8.61,8.62,8.52,77203,73084936.0,1.16,0.23,0.02,0.09
2023-02-14,002736,8.63,8.58,8.65,8.55,60020,56886714.19,1.16,-0.35,-0.03,0.07
2023-02-15,002736,8.59,8.5,8.61,8.48,74631,70240134.83,1.52,-0.93,-0.08,0.08
2023-02-16,002736,8.51,8.44,8.67,8.39,155618,147210798.74,3.29,-0.71,-0.06,0.18
2023-02-17,002736,8.41,8.34,8.5,8.34,87547,81496057.74,1.9,-1.18,-0.1,0.1
2023-02-20,002736,8.43,8.64,8.64,8.42,135505,127907457.22,2.64,3.6,0.3,0.15
2023-02-21,002736,8.6,8.74,8.77,8.57,150338,144223399.48,2.31,1.16,0.1,0.17
2023-02-22,002736,8.73,8.74,8.82,8.69,113870,109945116.67,1.49,0.0,0.0,0.13
2023-02-23,002736,8.76,8.81,8.85,8.71,136223,131930484.66,1.6,0.8,0.07,0.15
2023-02-24,002736,8.87,8.72,8.9,8.69,78997,76232287.19,2.38,-1.02,-0.09,0.09
2023-02-27,002736,8.71,8.65,8.76,8.61,72071,68965607.04,1.72,-0.8,-0.07,0.08
2023-02-28,002736,8.65,8.77,8.79,8.64,117066,112543524.28,1.73,1.39,0.12,0.13
2023-03-01,002736,8.74,8.99,9.0,8.72,254587,249538016.05,3.19,2.51,0.22,0.29
2023-03-02,002736,8.98,8.96,9.01,8.92,92827,91381431.57,1.0,-0.33,-0.03,0.11
2023-03-03,002736,8.96,8.95,8.98,8.83,154820,151794167.77,1.67,-0.11,-0.01,0.18
2023-03-06,002736,8.94,8.79,8.94,8.77,126005,122720759.6,1.9,-1.79,-0.16,0.14
2023-03-07,002736,8.79,8.68,8.86,8.65,123007,118660344.83,2.39,-1.25,-0.11,0.14
2023-03-08,002736,8.64,8.62,8.67,8.57,88736,84238767.15,1.15,-0.69,-0.06,0.1
2023-03-09,002736,8.64,8.6,8.66,8.57,70101,66578469.12,1.04,-0.23,-0.02,0.08
2023-03-10,002736,8.57,8.44,8.59,8.44,92965,87302810.85,1.74,-1.86,-0.16,0.11
2023-03-13,002736,8.43,8.47,8.51,8.39,100304,93604725.92,1.42,0.36,0.03,0.11
2023-03-14,002736,8.46,8.39,8.46,8.31,98223,91064105.4,1.77,-0.94,-0.08,0.11
2023-03-15,002736,8.49,8.42,8.49,8.41,57696,53878375.35,0.95,0.36,0.03,0.07
2023-03-16,002736,8.4,8.39,8.46,8.36,63529,59158487.17,1.19,-0.36,-0.03,0.07
2023-03-17,002736,8.47,8.47,8.58,8.45,105531,99110195.22,1.55,0.95,0.08,0.12
2023-03-20,002736,8.49,8.48,8.58,8.45,91428,86040145.15,1.53,0.12,0.01,0.1
2023-03-21,002736,8.52,8.54,8.62,8.49,96811,91423328.25,1.53,0.71,0.06,0.11
2023-03-22,002736,8.54,8.55,8.59,8.52,78414,74024359.35,0.82,0.12,0.01,0.09
2023-03-23,002736,8.52,8.66,8.69,8.51,107749,102360324.58,2.11,1.29,0.11,0.12
2023-03-24,002736,8.68,8.63,8.72,8.6,74671,71210956.0,1.39,-0.35,-0.03,0.08
2023-03-27,002736,8.63,8.63,8.66,8.53,89498,84880781.96,1.51,0.0,0.0,0.1
2023-03-28,002736,8.66,8.62,8.66,8.56,59932,56915237.98,1.16,-0.12,-0.01,0.07
2023-03-29,002736,8.64,8.51,8.64,8.48,83149,78356147.0,1.86,-1.28,-0.11,0.09
2023-03-30,002736,8.54,8.51,8.54,8.39,96968,90683049.41,1.76,0.0,0.0,0.11
2023-03-31,002736,8.51,8.48,8.55,8.45,79323,74476149.18,1.18,-0.35,-0.03,0.09
2023-04-03,002736,8.5,8.69,8.7,8.46,208435,198101499.71,2.83,2.48,0.21,0.24
2023-04-04,002736,8.66,8.73,8.76,8.62,134749,129311214.32,1.61,0.46,0.04,0.15
2023-04-06,002736,8.72,8.65,8.72,8.62,94697,90478052.12,1.15,-0.92,-0.08,0.11
2023-04-07,002736,8.66,8.7,8.75,8.63,84161,80698026.0,1.39,0.58,0.05,0.1
2023-04-10,002736,8.76,8.65,8.79,8.63,97758,93838746.27,1.84,-0.57,-0.05,0.11
2023-04-11,002736,8.73,8.71,8.83,8.68,154799,149106420.86,1.73,0.69,0.06,0.18
2023-04-12,002736,8.7,8.71,8.75,8.66,122030,117139694.8,1.03,0.0,0.0,0.14
2023-04-13,002736,8.71,8.71,8.78,8.67,140129,134807127.52,1.26,0.0,0.0,0.16
2023-04-14,002736,8.72,8.75,8.77,8.67,85224,81975153.0,1.15,0.46,0.04,0.1
2023-04-17,002736,8.81,8.96,8.96,8.74,211674,207347283.64,2.51,2.4,0.21,0.24
2023-04-18,002736,8.99,8.89,9.0,8.88,140720,138322680.68,1.34,-0.78,-0.07,0.16
2023-04-19,002736,8.91,8.79,8.91,8.78,109112,106266584.7,1.46,-1.12,-0.1,0.12
2023-04-20,002736,8.73,8.79,8.8,8.68,110177,106083841.01,1.37,0.0,0.0,0.12
2023-04-21,002736,8.81,8.44,8.81,8.42,143930,136421013.0,4.44,-3.98,-0.35,0.16
2023-04-24,002736,8.44,8.36,8.54,8.33,124442,115980853.49,2.49,-0.95,-0.08,0.14
2023-04-25,002736,8.34,8.39,8.49,8.32,130963,121469262.2,2.03,0.36,0.03,0.15
2023-04-26,002736,8.46,8.25,8.46,8.24,194156,178434832.85,2.62,-1.67,-0.14,0.22
2023-04-27,002736,8.26,8.29,8.3,8.22,161195,147463385.31,0.97,0.48,0.04,0.18
2023-04-28,002736,8.31,8.52,8.58,8.27,235883,220683693.02,3.74,2.77,0.23,0.27
2023-05-04,002736,8.55,8.69,8.76,8.5,367465,351039055.46,3.05,2.0,0.17,0.42
2023-05-05,002736,8.71,8.93,9.07,8.69,463463,456055863.14,4.37,2.76,0.24,0.53
2023-05-08,002736,8.96,9.09,9.16,8.87,425107,422105617.89,3.25,1.79,0.16,0.48
2023-05-09,002736,9.14,9.09,9.4,9.05,686959,696138626.05,3.85,0.0,0.0,0.78
2023-05-10,002736,8.98,8.86,9.16,8.81,333713,327830574.3,3.85,-2.53,-0.23,0.38
2023-05-11,002736,8.94,8.85,8.99,8.82,176119,172359216.59,1.92,-0.11,-0.01,0.2
2023-05-12,002736,8.85,8.71,8.89,8.69,227816,220504820.56,2.26,-1.58,-0.14,0.26
2023-05-15,002736,8.71,8.7,8.77,8.46,301526,286287070.84,3.56,-0.11,-0.01,0.34
2023-05-16,002736,8.7,8.7,8.81,8.67,205437,197768316.12,1.61,0.0,0.0,0.23
2023-05-17,002736,8.67,8.64,8.78,8.61,140380,134211341.4,1.95,-0.69,-0.06,0.16
2023-05-18,002736,8.67,8.6,8.74,8.56,147312,140318365.68,2.08,-0.46,-0.04,0.17
