date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,603288,63.44,62.38,63.44,61.8,60152,465989399.0,2.56,-2.49,-1.59,0.13
2023-01-04,603288,62.21,61.8,62.55,61.8,39105,302243289.0,1.2,-0.93,-0.58,0.08
2023-01-05,603288,63.09,64.27,64.71,61.91,80124,633445790.0,4.53,4.0,2.47,0.17
2023-01-06,603288,64.01,63.72,64.22,63.09,52802,418349615.0,1.76,-0.86,-0.55,0.11
2023-01-09,603288,64.79,64.49,65.03,63.17,69704,555761916.0,2.92,1.21,0.77,0.15
2023-01-10,603288,64.43,64.43,64.71,63.67,50982,407822913.0,1.61,-0.09,-0.06,0.11
2023-01-11,603288,64.43,63.39,64.64,63.3,40232,318981160.0,2.08,-1.61,-1.04,0.09
2023-01-12,603288,63.97,63.47,63.99,63.0,39480,311338367.0,1.56,0.13,0.08,0.09
2023-01-13,603288,63.51,66.23,66.23,63.47,113578,925636947.0,4.35,4.35,2.76,0.25
2023-01-16,603288,66.26,68.54,69.3,66.26,99079,840454557.0,4.59,3.49,2.31,0.21
2023-01-17,603288,68.29,68.05,68.47,67.51,61755,520112021.0,1.4,-0.71,-0.49,0.13
2023-01-18,603288,67.89,66.85,68.45,66.59,67966,568207420.0,2.73,-1.76,-1.2,0.15
2023-01-19,603288,66.85,64.84,66.95,64.39,112216,905617162.0,3.83,-3.01,-2.01,0.24
2023-01-20,603288,65.04,64.09,65.29,63.64,84582,675639231.0,2.54,-1.16,-0.75,0.18
2023-01-30,603288,66.74,64.54,66.74,64.14,100771,813772140.0,4.06,0.7,0.45,0.22
2023-01-31,603288,65.17,63.75,65.46,63.72,68378,548159492.0,2.7,-1.22,-0.79,0.15
2023-02-01,603288,63.79,63.67,64.1,62.89,53175,419477813.0,1.9,-0.13,-0.08,0.11
2023-02-02,603288,63.84,64.2,64.21,63.06,60742,481670143.0,1.81,0.83,0.53,0.13
2023-02-03,603288,63.65,63.13,63.76,62.64,61792,484945678.0,1.74,-1.67,-1.07,0.13
2023-02-06,603288,62.61,63.14,63.14,61.91,48655,379427326.0,1.95,0.02,0.01,0.11
2023-02-07,603288,63.45,62.74,63.48,62.55,35748,279844092.0,1.47,-0.63,-0.4,0.08
2023-02-08,603288,62.74,62.05,63.3,61.95,47212,366220749.0,2.15,-1.1,-0.69,0.1
2023-02-09,603288,61.94,62.49,62.7,61.82,41453,322103692.0,1.42,0.71,0.44,0.09
2023-02-10,603288,62.39,62.39,62.52,61.8,48833,377510661.0,1.15,-0.16,-0.1,0.11
2023-02-13,603288,61.69,63.36,63.39,61.69,84459,662123151.0,2.72,1.55,0.97,0.18
2023-02-14,603288,63.39,63.36,63.62,62.79,37091,291813860.0,1.31,0.0,0.0,0.08
2023-02-15,603288,63.3,62.68,63.51,62.39,36977,288696449.0,1.77,-1.07,-0.68,0.08
2023-02-16,603288,63.15,62.69,63.85,62.27,65421,515404586.0,2.52,0.02,0.01,0.14
2023-02-17,603288,62.64,62.89,64.3,62.49,89465,709515931.0,2.89,0.32,0.2,0.19
2023-02-20,603288,62.64,64.13,64.39,62.3,64118,505981305.0,3.32,1.97,1.24,0.14
2023-02-21,603288,64.13,64.8,65.22,63.87,70273,564839110.0,2.11,1.04,0.67,0.15
2023-02-22,603288,64.79,64.88,65.39,64.5,54215,438644068.0,1.37,0.12,0.08,0.12
2023-02-23,603288,64.88,64.69,65.93,64.37,45115,364836378.0,2.4,-0.29,-0.19,0.1
2023-02-24,603288,64.3,64.09,64.95,63.99,45250,362187290.0,1.48,-0.93,-0.6,0.1
2023-02-27,603288,63.79,65.6,65.76,63.73,80597,653184851.0,3.17,2.36,1.51,0.17
