date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,600015,3.93,3.94,3.94,3.88,207704,107883209.0,1.53,0.51,0.02,0.16
2023-01-04,600015,3.94,4.0,4.02,3.93,288312,151629677.0,2.28,1.52,0.06,0.22
2023-01-05,600015,4.01,4.0,4.03,3.98,168008,88555109.0,1.25,0.0,0.0,0.13
2023-01-06,600015,3.99,3.98,4.02,3.96,142224,74701019.0,1.5,-0.5,-0.02,0.11
2023-01-09,600015,3.98,4.01,4.06,3.96,247293,130532108.0,2.51,0.75,0.03,0.19
2023-01-10,600015,4.01,3.94,4.01,3.94,139353,73032083.0,1.75,-1.75,-0.07,0.11
2023-01-11,600015,3.95,3.95,3.97,3.93,168101,87774625.0,1.02,0.25,0.01,0.13
2023-01-12,600015,3.94,3.9,3.95,3.89,189820,98296616.0,1.52,-1.27,-0.05,0.15
2023-01-13,600015,3.9,3.95,3.96,3.89,246087,127656302.0,1.79,1.28,0.05,0.19
2023-01-16,600015,3.95,3.93,3.99,3.91,403943,210670770.0,2.03,-0.51,-0.02,0.32
2023-01-17,600015,3.93,3.9,3.93,3.87,294314,151958099.0,1.53,-0.76,-0.03,0.23
2023-01-18,600015,3.89,3.95,3.98,3.88,326135,169671907.0,2.56,1.28,0.05,0.25
2023-01-19,600015,3.93,3.94,3.95,3.92,172678,89811900.0,0.76,-0.25,-0.01,0.13
2023-01-20,600015,3.94,3.96,3.96,3.93,185062,96543780.0,0.76,0.51,0.02,0.14
2023-01-30,600015,3.99,3.97,4.01,3.96,278347,146100591.0,1.26,0.25,0.01,0.22
2023-01-31,600015,3.97,3.94,3.98,3.94,207189,108357205.0,1.01,-0.76,-0.03,0.16
2023-02-01,600015,3.95,3.95,3.96,3.93,191484,99845562.0,0.76,0.25,0.01,0.15
2023-02-02,600015,3.97,3.92,3.97,3.92,226203,117744903.0,1.27,-0.76,-0.03,0.18
2023-02-03,600015,3.92,3.89,3.93,3.88,304701,157418646.0,1.28,-0.77,-0.03,0.24
2023-02-06,600015,3.9,3.87,3.9,3.86,232977,119893873.0,1.03,-0.51,-0.02,0.18
2023-02-07,600015,3.88,3.88,3.89,3.87,205572,105770827.0,0.52,0.26,0.01,0.16
2023-02-08,600015,3.88,3.86,3.89,3.86,135165,69523401.0,0.77,-0.52,-0.02,0.11
2023-02-09,600015,3.86,3.89,3.89,3.86,181569,93479650.0,0.78,0.78,0.03,0.14
2023-02-10,600015,3.88,3.88,3.89,3.87,181552,93486027.0,0.51,-0.26,-0.01,0.14
2023-02-13,600015,3.88,3.87,3.89,3.86,259522,133425841.0,0.77,-0.26,-0.01,0.2
2023-02-14,600015,3.87,3.88,3.89,3.87,234707,120821047.0,0.52,0.26,0.01,0.18
2023-02-15,600015,3.88,3.87,3.89,3.86,186931,96163738.0,0.77,-0.26,-0.01,0.15
2023-02-16,600015,3.87,3.86,3.91,3.85,322387,166172381.0,1.55,-0.26,-0.01,0.25
2023-02-17,600015,3.86,3.82,3.88,3.82,254133,130122332.0,1.55,-1.04,-0.04,0.2
2023-02-20,600015,3.83,3.91,3.91,3.83,341815,175891875.0,2.09,2.36,0.09,0.27
2023-02-21,600015,3.92,3.94,3.94,3.9,279249,145043748.0,1.02,0.77,0.03,0.22
2023-02-22,600015,3.93,3.91,3.94,3.91,146234,75907198.0,0.76,-0.76,-0.03,0.11
2023-02-23,600015,3.92,3.92,3.94,3.91,227607,118285601.0,0.77,0.26,0.01,0.18
2023-02-24,600015,3.95,3.93,3.97,3.93,319081,166598282.0,1.02,0.26,0.01,0.25
2023-02-27,600015,3.93,3.91,3.95,3.91,213673,111079624.0,1.02,-0.51,-0.02,0.17
2023-02-28,600015,3.92,3.95,3.95,3.91,223504,116212020.0,1.02,1.02,0.04,0.17
2023-03-01,600015,3.94,3.99,4.0,3.94,276864,145259968.0,1.52,1.01,0.04,0.22
2023-03-02,600015,3.99,4.02,4.02,3.98,250839,132291708.0,1.0,0.75,0.03,0.2
2023-03-03,600015,4.02,4.09,4.1,4.0,421946,224838399.0,2.49,1.74,0.07,0.33
2023-03-06,600015,4.08,4.05,4.12,4.05,347322,185833125.0,1.71,-0.98,-0.04,0.27
2023-03-07,600015,4.05,4.11,4.24,4.05,875681,474981579.0,4.69,1.48,0.06,0.68
2023-03-08,600015,4.08,4.1,4.11,4.06,303747,162554335.0,1.22,-0.24,-0.01,0.24
2023-03-09,600015,4.09,4.09,4.15,4.08,279562,150317586.0,1.71,-0.24,-0.01,0.22
2023-03-10,600015,4.06,4.01,4.09,3.99,328574,174253124.0,2.44,-1.96,-0.08,0.26
2023-03-13,600015,3.98,4.03,4.04,3.97,298992,157793953.0,1.75,0.5,0.02,0.23
2023-03-14,600015,4.01,3.99,4.02,3.93,302133,158775644.0,2.23,-0.99,-0.04,0.24
2023-03-15,600015,4.02,4.03,4.04,4.0,216625,114631552.0,1.0,1.0,0.04,0.17
2023-03-16,600015,4.01,4.06,4.11,3.99,408366,218309044.0,2.98,0.74,0.03,0.32
2023-03-17,600015,4.08,4.07,4.13,4.06,338399,181476853.0,1.72,0.25,0.01,0.26
2023-03-20,600015,4.08,4.08,4.16,4.07,424760,228615433.0,2.21,0.25,0.01,0.33
2023-03-21,600015,4.09,4.08,4.14,4.06,302718,162395212.0,1.96,0.0,0.0,0.24
